"","Year","Set.ID","Site","Area","Valid.hooks","Avg.depth..m.","Lat..N.","Lon..W.","Lat..DD.DDDDD.","Lon..DDD.DDDDD.","SiteSheetID","NumSim"
"47",2004,"04-01-05-014",186,"San Miguel Island",65,51.9,"34 01.989","120 29.882",34.03315,-120.498033,78,4
"48",2004,"04-01-05-017",233,"Santa Cruz Island",75,49.9,"33 56.193","119 41.583",33.93655,-119.69305,79,6
"49",2004,"04-01-05-018",231,"Santa Cruz Island",70,87.1,"33 56.434","119 39.518",33.940567,-119.658633,80,0
"50",2004,"04-01-05-019",228,"Anacapa Island",75,49.4,"33 58.901","119 29.578",33.981683,-119.492967,81,3
"51",2004,"04-01-05-020",217,"Santa Barbara Channel",75,55.4,"34 11.209","119 31.159",34.186817,-119.519317,82,0
"52",2004,"04-01-05-021",45,"Anacapa Island",75,54.6,"34 01.497","119 19.014",34.02495,-119.3169,83,0
"53",2004,"04-01-05-022",40,"Anacapa Island",75,90.4,"34 02.407","119 17.667",34.040117,-119.29445,84,11
"54",2004,"04-01-05-023",157,"Harrison Reef",75,47.3,"34 00.336","119 01.522",34.0056,-119.025367,85,12
"55",2004,"04-01-05-024",167,"Harrison Reef",75,62.1,"33 59.679","119 03.251",33.99465,-119.054183,86,2
"56",2004,"04-01-05-025",234,"Santa Monica Bay",75,25.9,"34 00.420","118 39.330",34.007,-118.6555,87,0
"57",2004,"04-01-05-026",252,"Santa Monica Bay",75,43.6,"33 55.189","118 33.022",33.919817,-118.550367,88,0
"58",2004,"04-01-05-027",52,"Catalina Island",70,99,"33 28.904","118 38.652",33.481733,-118.6442,89,5
"59",2004,"04-01-05-028",79,"Catalina Island",62,82.6,"33 16.819","118 19.196",33.280317,-118.319933,90,0
"60",2004,"04-01-05-030",71,"Catalina Island",75,39.2,"33 17.853","118 22.625",33.29755,-118.377083,91,0
"61",2004,"04-01-05-031",97,"San Clemente Island",70,42.7,"33 03.799","118 37.092",33.063317,-118.6182,92,0
"62",2004,"04-01-05-032",101,"San Clemente Island",73,43.1,"32 59.430","118 37.360",32.9905,-118.622667,93,0
"63",2004,"04-01-05-033",109,"San Clemente Island",75,23.7,"32 53.020","118 31.790",32.883667,-118.529833,94,0
"64",2004,"04-01-05-034",114,"San Clemente Island",70,45.2,"32 52.435","118 31.788",32.873917,-118.5298,95,2
"65",2004,"04-01-05-035",119,"San Clemente Island",73,56.2,"32 49.940","118 31.288",32.832333,-118.521467,96,2
"66",2004,"04-01-05-037",136,"San Clemente Island",75,92.7,"32 43.418","118 27.403",32.723633,-118.456717,97,12
"67",2004,"04-01-05-038",137,"San Clemente Island",70,81.4,"32 42.971","118 24.277",32.716183,-118.404617,98,0
"68",2004,"04-01-05-039",133,"San Clemente Island",75,53.1,"32 44.658","118 24.674",32.7443,-118.411233,99,0
"69",2004,"04-01-05-040",130,"San Clemente Island",75,44.4,"32 45.730","118 24.937",32.762167,-118.415617,100,0
"70",2004,"04-01-05-042",29,"Sixty Mile Bank",69,69.4,"32 01.368","118 12.791",32.0228,-118.213183,101,0
"71",2004,"04-01-05-043",31,"Sixty Mile Bank",75,79.3,"32 01.134","118 12.986",32.0189,-118.216433,102,0
"72",2004,"04-01-05-044",22,"Sixty Mile Bank",75,54.4,"32 05.240","118 15.530",32.087333,-118.258833,103,0
"73",2004,"04-01-05-045",18,"Sixty Mile Bank",72,73.6,"32 05.648","118 14.620",32.094133,-118.243667,104,0
"74",2004,"04-01-05-046",17,"Sixty Mile Bank",74,98.6,"32 06.121","118 13.807",32.102017,-118.230117,105,0
"75",2004,"04-01-05-049",318,"San Pedro Bay",40,42.2,"33 35.140","118 13.720",33.585667,-118.228667,106,0
"76",2005,"05-01-05-001",304,"San Pedro Bay",75,40.4,"33 39.810","118 16.550",33.6635,-118.275833,108,0
"77",2005,"05-01-05-003",277,"Santa Monica Bay",70,42.9,"33 52.760","118 35.107",33.879333,-118.585117,110,0
"78",2005,"05-01-05-004",243,"Santa Monica Bay",75,75.2,"33 58.789","118 39.624",33.979817,-118.6604,111,2
"79",2005,"05-01-05-006",205,"Santa Barbara Channel",72,82.3,"34 13.510","119 42.230",34.225167,-119.703833,113,0
"80",2005,"05-01-05-007",189,"Santa Barbara",75,44.1,"34 23.646","119 58.808",34.3941,-119.980133,114,1
"81",2005,"05-01-05-008",187,"Santa Barbara",74,37.9,"34 25.916","120 08.434",34.431933,-120.140567,115,3
"82",2005,"05-01-05-009",197,"Santa Barbara",75,40,"34 25.777","120 12.895",34.429617,-120.214917,116,0
"83",2005,"05-01-05-012",140,"Point Conception/Arguello",65,53.6,"34 30.302","120 41.483",34.505033,-120.691383,117,2
"84",2005,"05-01-05-013",147,"Point Conception/Arguello",72,62.2,"34 29.873","120 41.818",34.497883,-120.696967,118,0
"85",2005,"05-01-05-014",154,"Point Conception/Arguello",74,73.5,"34 25.850","120 33.264",34.430833,-120.5544,119,0
"86",2005,"05-01-05-015",367,"Point Conception/Arguello",75,63.9,"34 25.559","120 32.669",34.425983,-120.544483,120,2
"87",2005,"05-01-05-016",180,"San Miguel Island",67,37.2,"34 08.488","120 33.928",34.141467,-120.565467,121,0
"88",2005,"05-01-05-018",181,"San Miguel Island",73,64.5,"34 05.647","120 34.385",34.094117,-120.573083,122,6
"89",2005,"05-01-05-019",184,"San Miguel Island",73,67.2,"34 03.553","120 33.158",34.059217,-120.552633,123,0
"90",2005,"05-01-05-020",287,"Santa Rosa Island",75,47.8,"34 05.674","120 15.738",34.094567,-120.2623,124,0
"91",2005,"05-01-05-023",365,"Santa Rosa Island",75,29.2,"34 03.581","119 59.290",34.059683,-119.988167,125,0
"92",2005,"05-01-05-021",399,"Santa Rosa Island",75,47.4,"34 05.643","120 05.992",34.09405,-120.099867,126,0
"93",2005,"05-01-05-022",402,"Santa Rosa Island",70,48.1,"34 05.833","120 05.503",34.097217,-120.091717,127,0
"94",2005,"05-01-05-025",62,"Catalina Island",75,37.2,"33 20.913","118 31.362",33.34855,-118.5227,128,0
"95",2005,"05-01-05-026",52,"Catalina Island",69,95.4,"33 28.904","118 38.652",33.481733,-118.6442,129,4
"96",2005,"05-01-05-027",54,"Catalina Island",75,41.2,"33 27.813","118 30.538",33.46355,-118.508967,130,0
"97",2005,"05-01-05-028",92,"Central Coast",75,54.1,"33 15.498","117 33.103",33.2583,-117.551717,131,1
"98",2005,"05-01-05-029",389,"Central Coast",75,44.7,"33 15.509","117 32.869",33.258483,-117.547817,132,4
"99",2005,"05-01-05-030",390,"Central Coast",75,42.2,"33 16.872","117 34.670",33.2812,-117.577833,133,2
"100",2005,"05-01-05-031",391,"Central Coast",73,79.1,"33 23.644","117 41.110",33.394067,-117.685167,134,5
"101",2005,"05-01-05-032",84,"Central Coast",75,53.4,"33 32.456","117 49.925",33.540933,-117.832083,135,0
"102",2005,"05-01-05-033",395,"Central Coast",75,52.8,"33 33.257","117 51.177",33.554283,-117.85295,136,0
"103",2005,"05-01-05-035",33,"Nine Mile Bank",75,72.2,"32 36.820","117 23.950",32.613667,-117.399167,137,1
"104",2005,"05-01-05-036",405,"Nine Mile Bank",75,80.4,"32 34.840","117 22.589",32.580667,-117.376483,138,0
"105",2005,"05-01-05-037",35,"Nine Mile Bank",74,76.1,"32 34.950","117 21.310",32.5825,-117.355167,139,4
"106",2005,"05-01-05-038",36,"Nine Mile Bank",75,65.6,"32 34.180","117 20.780",32.569667,-117.346333,140,2
"107",2005,"05-01-05-039",298,"South Coast",74,42.4,"32 36.660","117 17.068",32.611,-117.284467,141,0
"108",2005,"05-01-05-040",293,"South Coast",75,27.3,"32 48.367","117 19.061",32.806117,-117.317683,142,0
"109",2005,"05-01-05-041",292,"South Coast",75,41.3,"32 48.786","117 20.205",32.8131,-117.33675,143,4
"110",2005,"05-01-05-042",291,"South Coast",75,44.3,"32 56.086","117 18.871",32.934767,-117.314517,144,0
"111",2005,"05-01-05-043",379,"South Coast",75,46.8,"33 02.847","117 21.028",33.04745,-117.350467,145,2
"112",2005,"05-01-05-044",289,"South Coast",75,50.5,"33 07.236","117 21.262",33.1206,-117.354367,146,0
"113",2005,"05-01-05-045",31,"Sixty Mile Bank",74,80,"32 01.134","118 12.986",32.0189,-118.216433,147,0
"114",2005,"05-01-05-046",27,"Sixty Mile Bank",73,68.1,"32 04.340","118 14.633",32.072333,-118.243883,148,1
"115",2005,"05-01-05-047",22,"Sixty Mile Bank",75,55.5,"32 05.240","118 15.530",32.087333,-118.258833,149,0
"116",2005,"05-01-05-048",17,"Sixty Mile Bank",69,89.2,"32 06.121","118 13.807",32.102017,-118.230117,150,0
"117",2005,"05-01-05-049",109,"San Clemente Island",75,24.1,"32 53.020","118 31.790",32.883667,-118.529833,151,0
"118",2005,"05-01-05-050",114,"San Clemente Island",74,44.9,"32 52.435","118 31.788",32.873917,-118.5298,152,0
"119",2005,"05-01-05-051",315,"San Pedro Bay",75,45,"33 35.990","118 15.910",33.599833,-118.265167,153,1
"120",2005,"05-01-01-048",2,"Fourteen Mile Bank",70,71.6,"33 23.771","117 59.507",33.396183,-117.991783,154,2
"121",2005,"05-01-01-047",16,"Fourteen Mile Bank",65,55.5,"33 23.840","117 59.864",33.397333,-117.997733,155,0
"122",2005,"05-01-01-046",15,"Fourteen Mile Bank",75,66,"33 23.835","118 00.134",33.39725,-118.002233,156,0
"123",2005,"05-01-01-045",11,"Fourteen Mile Bank",75,60.6,"33 24.145","118 00.293",33.402417,-118.004883,157,0
"124",2005,"05-01-01-044",137,"San Clemente Island",70,83.1,"32 42.971","118 24.277",32.716183,-118.404617,158,4
"125",2005,"05-01-01-043",18,"Sixty Mile Bank",72,75.9,"32 05.648","118 14.620",32.094133,-118.243667,159,0
"126",2005,"05-01-01-042",377,"Sixty Mile Bank",75,69,"32 04.063","118 14.577",32.067717,-118.24295,160,0
"127",2005,"05-01-01-041",29,"Sixty Mile Bank",75,74.4,"32 01.368","118 12.791",32.0228,-118.213183,161,0
"128",2005,"05-01-01-040",43,"Anacapa Island",64,91.5,"34 02.226","119 17.935",34.0371,-119.298917,162,24
"129",2005,"05-01-01-039",226,"Santa Cruz Island",75,33.9,"34 02.371","119 30.784",34.039517,-119.513067,163,0
"130",2005,"05-01-01-038",396,"Santa Cruz Island",75,41.2,"34 03.506","119 42.583",34.058433,-119.709717,164,0
"131",2005,"05-01-01-037",229,"Anacapa Island",75,55.1,"33 57.920","119 29.507",33.965333,-119.491783,165,6
"132",2005,"05-01-01-036",48,"Anacapa Island",75,70.5,"33 57.667","119 28.964",33.961117,-119.482733,166,0
"133",2005,"05-01-01-035",233,"Santa Cruz Island",75,48.5,"33 56.193","119 41.583",33.93655,-119.69305,167,2
"134",2005,"05-01-01-034",383,"Santa Cruz Island",60,44.2,"33 56.520","119 40.540",33.942,-119.675667,168,0
"135",2005,"05-01-01-033",407,"Port Hueneme",74,44.3,"34 04.147","119 12.595",34.069117,-119.209917,169,0
"136",2005,"05-01-01-030",162,"Harrison Reef",75,48,"34 00.450","119 02.474",34.0075,-119.041233,170,4
"137",2005,"05-01-01-029",168,"Harrison Reef",75,59.2,"33 59.597","119 03.148",33.993283,-119.052467,171,0
"138",2005,"05-01-01-028",167,"Harrison Reef",75,63.1,"33 59.679","119 03.251",33.99465,-119.054183,172,1
"139",2005,"05-01-01-027",157,"Harrison Reef",75,47.2,"34 00.336","119 01.522",34.0056,-119.025367,173,6
"140",2005,"05-01-01-026",317,"San Pedro Bay",75,43.6,"33 35.740","118 15.490",33.595667,-118.258167,174,0
"141",2005,"05-01-01-025",66,"Catalina Island",70,44.7,"33 18.051","118 18.077",33.30085,-118.301283,175,1
"142",2005,"05-01-01-024",79,"Catalina Island",75,81.4,"33 16.819","118 19.196",33.280317,-118.319933,176,0
"143",2005,"05-01-01-023",68,"Catalina Island",75,43.1,"33 18.000","118 23.842",33.3,-118.397367,177,0
"144",2005,"05-01-01-022",333,"Santa Rosa Flats",75,72.7,"33 52.912","119 54.907",33.881867,-119.915117,178,11
"145",2005,"05-01-01-021",342,"Santa Rosa Flats",69,67,"33 46.347","119 53.049",33.77245,-119.88415,179,0
"146",2005,"05-01-01-020",414,"Santa Rosa Flats",29,75.5,"33 41.915","119 53.201",33.698583,-119.886683,180,0
"147",2005,"05-01-01-019",352,"Santa Rosa Flats",73,67.2,"33 42.778","119 57.768",33.712967,-119.9628,181,0
"148",2005,"05-01-01-018",350,"Santa Rosa Flats",72,101.3,"33 42.910","120 03.200",33.715167,-120.053333,182,0
"149",2005,"05-01-01-017",346,"Santa Rosa Flats",75,87.6,"33 45.058","120 04.471",33.750967,-120.074517,183,0
"150",2005,"05-01-01-016",186,"San Miguel Island",74,52,"34 01.989","120 29.882",34.03315,-120.498033,184,2
"151",2005,"05-01-01-015",185,"San Miguel Island",71,49.6,"34 02.395","120 30.622",34.039917,-120.510367,185,0
"152",2005,"05-01-01-014",182,"San Miguel Island",72,69.7,"34 05.049","120 34.519",34.08415,-120.575317,186,0
"153",2005,"05-01-01-013",151,"Point Conception/Arguello",74,61,"34 27.981","120 37.482",34.46635,-120.6247,187,0
"154",2005,"05-01-01-012",374,"Point Conception/Arguello",75,53.1,"34 29.084","120 37.053",34.484733,-120.61755,188,12
"155",2005,"05-01-01-011",375,"Point Conception/Arguello",75,53.1,"34 30.030","120 40.190",34.5005,-120.669833,189,2
"156",2005,"05-01-01-010",139,"Point Conception/Arguello",74,55.7,"34 31.727","120 43.182",34.528783,-120.7197,190,0
"157",2005,"05-01-01-009",193,"Santa Barbara",75,22.5,"34 20.955","119 38.290",34.34925,-119.638167,191,0
"158",2005,"05-01-01-008",200,"Santa Barbara Channel",68,57.4,"34 15.443","119 37.167",34.257383,-119.61945,192,0
"159",2005,"05-01-01-007",209,"Santa Barbara Channel",75,88.6,"34 12.064","119 37.907",34.201067,-119.631783,193,0
"160",2005,"05-01-01-006",215,"Santa Barbara Channel",71,86.5,"34 11.786","119 34.743",34.196433,-119.57905,194,1
"161",2005,"05-01-01-005",217,"Santa Barbara Channel",65,57.7,"34 11.209","119 31.159",34.186817,-119.519317,195,0
"162",2005,"05-01-01-004",249,"Santa Monica Bay",75,51,"33 55.905","118 33.418",33.93175,-118.556967,196,4
"163",2005,"05-01-01-003",252,"Santa Monica Bay",75,44.7,"33 55.189","118 33.022",33.919817,-118.550367,197,0
"164",2005,"05-01-01-002",326,"San Pedro Bay",75,45.9,"33 34.340","118 08.530",33.572333,-118.142167,198,0
"165",2005,"05-01-01-001",318,"San Pedro Bay",75,42,"33 35.140","118 13.720",33.585667,-118.228667,199,0
"166",2006,"06-01-05-001",48,"Anacapa Island",75,72.5,"33 57.667","119 28.964",33.961117,-119.482733,204,6
"167",2006,"06-01-01-002",43,"Anacapa Island",75,93.4,"34 02.226","119 17.935",34.0371,-119.298917,210,23
"168",2006,"06-01-01-003",45,"Anacapa Island",74,53.8,"34 01.497","119 19.014",34.02495,-119.3169,211,0
"169",2006,"06-01-01-005",226,"Santa Cruz Island",75,32,"34 02.371","119 30.784",34.039517,-119.513067,212,0
"170",2006,"06-01-01-007",215,"Santa Barbara Channel",69,87.3,"34 11.786","119 34.743",34.196433,-119.57905,213,0
"171",2006,"06-01-01-008",200,"Santa Barbara Channel",75,57.6,"34 15.443","119 37.167",34.257383,-119.61945,214,0
"172",2006,"06-01-01-009",193,"Santa Barbara",75,23.8,"34 20.955","119 38.290",34.34925,-119.638167,215,0
"173",2006,"06-01-01-010",187,"Santa Barbara",75,38.1,"34 25.916","120 08.434",34.431933,-120.140567,216,0
"174",2006,"06-01-01-011",140,"Point Conception/Arguello",75,55,"34 30.302","120 41.483",34.505033,-120.691383,217,1
"175",2006,"06-01-01-012",147,"Point Conception/Arguello",74,65.1,"34 29.873","120 41.818",34.497883,-120.696967,218,0
"176",2006,"06-01-01-013",375,"Point Conception/Arguello",74,52.3,"34 30.030","120 40.190",34.5005,-120.669833,219,3
"177",2006,"06-01-01-014",374,"Point Conception/Arguello",75,52.4,"34 29.084","120 37.053",34.484733,-120.61755,220,0
"178",2006,"06-01-01-015",151,"Point Conception/Arguello",67,62.5,"34 27.981","120 37.482",34.46635,-120.6247,221,11
"179",2006,"06-01-01-016",367,"Point Conception/Arguello",30,63.9,"34 25.559","120 32.669",34.425983,-120.544483,222,10
"180",2006,"06-01-01-017",350,"Santa Rosa Flats",65,106,"33 42.910","120 03.200",33.715167,-120.053333,223,0
"181",2006,"06-01-01-018",352,"Santa Rosa Flats",74,67.8,"33 42.778","119 57.768",33.712967,-119.9628,224,0
"182",2006,"06-01-01-019",342,"Santa Rosa Flats",71,67.8,"33 46.347","119 53.049",33.77245,-119.88415,225,0
"183",2006,"06-01-01-020",383,"Santa Cruz Island",75,45.4,"33 56.520","119 40.540",33.942,-119.675667,226,0
"184",2006,"06-01-01-021",167,"Harrison Reef",75,66.4,"33 59.679","119 03.251",33.99465,-119.054183,227,4
"185",2006,"06-01-01-022",157,"Harrison Reef",75,47.5,"34 00.336","119 01.522",34.0056,-119.025367,228,8
"186",2006,"06-01-01-023",249,"Santa Monica Bay",75,52.8,"33 55.905","118 33.418",33.93175,-118.556967,229,3
"187",2006,"06-01-01-024",252,"Santa Monica Bay",75,43.4,"33 55.189","118 33.022",33.919817,-118.550367,230,0
"188",2006,"06-01-01-025",54,"Catalina Island",75,36.6,"33 27.813","118 30.538",33.46355,-118.508967,231,0
"189",2006,"06-01-01-026",15,"Fourteen Mile Bank",75,67,"33 23.835","118 00.134",33.39725,-118.002233,232,0
"190",2006,"06-01-01-027",6,"Fourteen Mile Bank",75,97.4,"33 24.314","117 59.560",33.405233,-117.992667,233,0
"191",2006,"06-01-01-029",29,"Sixty Mile Bank",75,81.7,"32 01.368","118 12.791",32.0228,-118.213183,234,0
"192",2006,"06-01-01-030",377,"Sixty Mile Bank",75,72.3,"32 04.063","118 14.577",32.067717,-118.24295,235,0
"193",2006,"06-01-01-031",18,"Sixty Mile Bank",74,76.7,"32 05.648","118 14.620",32.094133,-118.243667,236,0
"194",2006,"06-01-01-032",21,"Sixty Mile Bank",75,74.1,"32 05.421","118 14.084",32.09035,-118.234733,237,0
"195",2006,"06-01-01-034",136,"San Clemente Island",75,93.5,"32 43.418","118 27.403",32.723633,-118.456717,238,13
"196",2006,"06-01-01-033",24,"Sixty Mile Bank",73,94.2,"32 04.570","118 15.640",32.076167,-118.260667,239,0
"197",2006,"06-01-01-035",119,"San Clemente Island",75,57.8,"32 49.940","118 31.288",32.832333,-118.521467,240,7
"198",2006,"06-01-01-036",114,"San Clemente Island",75,46.3,"32 52.435","118 31.788",32.873917,-118.5298,241,1
"199",2006,"06-01-01-037",380,"San Clemente Island",65,58.1,"32 44.441","118 24.311",32.740683,-118.405183,242,3
"200",2006,"06-01-01-038",405,"Nine Mile Bank",75,81.5,"32 34.840","117 22.589",32.580667,-117.376483,243,12
"201",2006,"06-01-01-039",36,"Nine Mile Bank",74,66.5,"32 34.180","117 20.780",32.569667,-117.346333,244,0
"202",2006,"06-01-01-040",298,"South Coast",75,43,"32 36.660","117 17.068",32.611,-117.284467,245,0
"203",2006,"06-01-01-041",293,"South Coast",75,27.8,"32 48.367","117 19.061",32.806117,-117.317683,246,0
"204",2006,"06-01-01-042",289,"South Coast",75,54.2,"33 07.236","117 21.262",33.1206,-117.354367,247,0
"205",2006,"06-01-01-043",390,"Central Coast",75,42.6,"33 16.872","117 34.670",33.2812,-117.577833,248,0
"206",2006,"06-01-01-044",84,"Central Coast",74,56.9,"33 32.456","117 49.925",33.540933,-117.832083,249,0
"207",2006,"06-01-01-045",395,"Central Coast",75,56.5,"33 33.257","117 51.177",33.554283,-117.85295,250,1
"208",2006,"06-01-01-047",79,"Catalina Island",65,83.7,"33 16.819","118 19.196",33.280317,-118.319933,251,0
"209",2006,"06-01-01-048",66,"Catalina Island",75,45.7,"33 18.051","118 18.077",33.30085,-118.301283,252,0
"210",2006,"06-01-01-049",326,"San Pedro Bay",75,46.2,"33 34.340","118 08.530",33.572333,-118.142167,253,0
"211",2006,"06-01-05-002",229,"Anacapa Island",70,54.1,"33 57.920","119 29.507",33.965333,-119.491783,256,4
"212",2006,"06-01-05-003",217,"Santa Barbara Channel",65,56.1,"34 11.209","119 31.159",34.186817,-119.519317,257,0
"213",2006,"06-01-05-004",209,"Santa Barbara Channel",73,90.8,"34 12.064","119 37.907",34.201067,-119.631783,258,6
"214",2006,"06-01-05-005",205,"Santa Barbara Channel",69,82.4,"34 13.510","119 42.230",34.225167,-119.703833,259,4
"215",2006,"06-01-05-006",396,"Santa Cruz Island",60,36.8,"34 03.506","119 42.583",34.058433,-119.709717,260,0
"216",2006,"06-01-05-008",189,"Santa Barbara",75,43.9,"34 23.646","119 58.808",34.3941,-119.980133,261,1
"217",2006,"06-01-05-009",197,"Santa Barbara",75,39.7,"34 25.777","120 12.895",34.429617,-120.214917,262,3
"218",2006,"06-01-05-010",154,"Point Conception/Arguello",15,73.1,"34 25.850","120 33.264",34.430833,-120.5544,263,3
"219",2006,"06-01-05-011",287,"Santa Rosa Island",72,48.7,"34 05.674","120 15.738",34.094567,-120.2623,264,1
"220",2006,"06-01-05-012",399,"Santa Rosa Island",75,50.6,"34 05.643","120 05.992",34.09405,-120.099867,265,3
"221",2006,"06-01-05-014",402,"Santa Rosa Island",69,49.4,"34 05.833","120 05.503",34.097217,-120.091717,266,2
"222",2006,"06-01-05-015",365,"Santa Rosa Island",65,30.3,"34 03.581","119 59.290",34.059683,-119.988167,267,0
"223",2006,"06-01-05-017",346,"Santa Rosa Flats",71,87.5,"33 45.058","120 04.471",33.750967,-120.074517,268,7
"224",2006,"06-01-05-018",385,"Santa Rosa Flats",74,77.4,"33 41.862","119 53.491",33.6977,-119.891517,269,12
"225",2006,"06-01-05-019",414,"Santa Rosa Flats",74,76.4,"33 41.915","119 53.201",33.698583,-119.886683,270,6
"226",2006,"06-01-05-020",333,"Santa Rosa Flats",75,77.9,"33 52.912","119 54.907",33.881867,-119.915117,271,9
